int	string	string	string	string
id	名称	简介	任务完成简介	内容
id	name	info	cinfo	content
1100	建造电影院	打造属于我们自己的电影公司，从建造电影院开始~	电影院建好啦，这是我们伟大征程的第一步！	建造电影院
1101	建造摄影棚	建造摄影棚，踏出属于自己的影业生涯的第一步！	摄影棚建好啦，这是我们电影梦想的启航！	建造摄影棚
1102	拍摄第1部电影	这是值得纪念的一天——亲手拍摄自己的第一部电影	亲自操刀负责的第一部电影拍摄完成，这是值得纪念的第一次。	拍摄第1部电影
1103	查看电影持续收益	电影上映之后会随着上映天数而产生持续收益，所以记得定时去查看一下哦~	电影的持续收益在上映期间会不断增长，所以记得要定时查看一下喔~	查看电影持续收益
1104	领取1次电影持续收益	电影持续收益来自在不同地区上映、电影周边以及相关活动授权等多个方面。	电影上映地区、电影周边贩售以及合作活动都能带来收益，所以要记得定期去收取喔~	领取1次电影持续收益
1105	建造艺人教室	一步一步来，我们的电影公司一定会不断壮大的！	现在，我们离成为一流的电影公司又进了一步！	建造艺人教室
1106	招募1个新艺人	要想拍出市场认可的高质量影片，我们需要招募更多的艺人！	更多的艺人就意味着我们有更大的可能拍出高质量的影片了！	招募1个新艺人
1107	将1位艺人升到5级	艺人招募成功才只是开始，我们还需要不断提升他们的实力，这样才能拍出更好的电影~	艺人能力越强，拍出高质量影片的可能就越高！所以可别忘了不断提升艺人实力哦~	将1位艺人升到5级
1108	建造市场部	想拍出叫好又叫座的电影，闭门造车可不行。我们需要加深对市场的研究。	我们对市场的了解越深，就越有可能拍出符合市场喜好的电影，从而让我们的公司吸引更多观众的目光！	建造市场部
1109	在星光大道完成宣传	酒香也怕巷子深，想要获取更高的关注度，我们必须主动出击~	从一个小街区开始，我们的影响力最终将会扩展至全球！	在星光大道完成宣传
1110	将市场部升至2级	想要进一步把握市场风向，我们就需要让市场部投入更多精力哦。	将市场部的等级提升可以提高我们对市场方向的把控，从而让公司始终走在正确的方向上哦~	将市场部升至2级
