int	string	string	string	string
id	名称	简介	任务完成简介	内容
id	name	info	cinfo	content
1100	Build Cinema	This is the first step of our new path! Let's build a Cinema!	Our Cinema is ready. Let's keep on going!	Build Cinema
1101	Build Filming Studio	Build a Filming Studio and start your movie-making career!	Our studio is ready. This is the maiden voyage of our cinema dreams!	Build Filming Studio
1102	Film your first movie	It's a day to remember—the day you shoot your first movie!	You finished shooting your very first movie! It's worth celebrating!	Film your first movie
1103	Check your movie earnings	After a movie starts showing, it will generate revenue every day. Be sure to remember to check!	While it is showing, a movie's earnings will increase every day. Remember to check regularly!	Check your movie earnings
1104	Collect your movie earnings	Movie earnings come from being screened in various locations, as well as spin-off merchandise, licensing fees for related events, and so on.	You can earn revenue through movie screenings, tie-in merchandise, licensed events, and more. Don't forget to collect them regularly!	Collect your movie earnings
1105	Build Actor Department	Step by step, our movie business is becoming stronger!	Now we're one step closer to becoming an A-list film company!	Build Actor Department
1106	Hire a new actor	If we want to make high-quality films that audiences will appreciate, we need to hire more actors!	More actors means that we have a better chance of making high-quality films!	Hire a new actor
1107	Upgrade an actor to level 5	Hiring an actor is just the beginning! We have to continually upgrade their abilities if we want to make great movies!	The stronger your actors, the better chance you have of making a high-quality movie! Don't forget to upgrade your actors whenever you can!	Upgrade an actor to level 5
1108	Build Market Department	We can't make successful movies in isolation. We need a deeper understanding of the market!	The better we understand the market, the greater chance we have of making a successful movie and improving our company's reputation!	Build Market Department
1109	Advertise at Walk of Fame	Even quality movies need good marketing! We have to be pro-active if we want to increase our exposure.	Starting from this small street, our influence will one day cover the entire world!	Advertise at Walk of Fame
1110	Upgrade Market Department to level 2	The better we understand the market, the greater chance we have of making a successful movie and improving our company's reputation!	Upgrading your Market Department improves your grasp of market directions and trends, so you can take your company the right way!	Upgrade Market Department to level 2
1111	Increase movie buzz one time	While a movie is showing, we can increase the buzz surrounding the movie to increase our earnings!	It's important to keep up marketing efforts even after a movie has been released!	Increase movie buzz one time
